code,date,open,close,high,low,volume
SH.688122,2021-10-20 14:00:00,75.1,74.93,75.81,74.62,599800.0
SH.688122,2021-10-20 14:30:00,74.9,74.85,75.12,74.6,355200.0
SH.688122,2021-10-20 15:00:00,74.92,74.94,75.13,74.8,333200.0
SH.688122,2021-10-21 10:00:00,75.39,75.84,77.28,75.01,1013600.0
SH.688122,2021-10-21 10:30:00,75.82,75.25,75.99,75.12,324700.0
SH.688122,2021-10-21 11:00:00,75.2,74.13,75.22,73.98,918200.0
SH.688122,2021-10-21 11:30:00,74.08,73.87,74.09,73.35,383700.0
SH.688122,2021-10-21 13:30:00,73.95,73.91,74.77,73.86,273300.0
SH.688122,2021-10-21 14:00:00,73.91,73.81,74.15,73.61,268300.0
SH.688122,2021-10-21 14:30:00,73.78,73.7,74.16,73.66,283900.0
SH.688122,2021-10-21 15:00:00,73.69,73.71,74.32,73.61,464300.0
SH.688122,2021-10-22 10:00:00,77.8,76.22,79.5,75.67,3629500.0
SH.688122,2021-10-22 10:30:00,76.22,76.98,77.2,75.76,1049000.0
SH.688122,2021-10-22 11:00:00,76.99,75.95,76.99,75.61,548100.0
SH.688122,2021-10-22 11:30:00,75.98,75.8,75.98,75.26,355100.0
SH.688122,2021-10-22 13:30:00,75.84,77.36,77.5,75.84,785700.0
SH.688122,2021-10-22 14:00:00,77.38,77.09,77.42,76.46,617200.0
SH.688122,2021-10-22 14:30:00,77.09,76.49,77.2,76.43,648600.0
SH.688122,2021-10-22 15:00:00,76.5,76.27,77.0,75.86,608100.0
SH.688122,2021-10-25 10:00:00,76.8,78.13,79.79,76.63,1854200.0
SH.688122,2021-10-25 10:30:00,78.13,77.19,78.13,76.5,725800.0
SH.688122,2021-10-25 11:00:00,77.01,77.38,77.58,76.96,396200.0
SH.688122,2021-10-25 11:30:00,77.39,77.57,77.87,76.93,330800.0
SH.688122,2021-10-25 13:30:00,77.57,78.28,78.57,77.23,652400.0
SH.688122,2021-10-25 14:00:00,78.29,78.33,78.98,77.95,530700.0
SH.688122,2021-10-25 14:30:00,78.38,78.85,79.1,78.38,608300.0
SH.688122,2021-10-25 15:00:00,78.68,78.54,78.88,78.47,387800.0
SH.688122,2021-10-26 10:00:00,79.0,78.68,80.38,78.26,1028600.0
SH.688122,2021-10-26 10:30:00,78.65,78.97,79.08,78.01,476300.0
SH.688122,2021-10-26 11:00:00,78.95,78.4,79.49,78.35,347000.0
SH.688122,2021-10-26 11:30:00,78.38,79.25,79.5,78.07,375700.0
SH.688122,2021-10-26 13:30:00,79.1,78.18,79.66,78.18,539000.0
SH.688122,2021-10-26 14:00:00,78.18,78.22,78.25,77.79,576600.0
SH.688122,2021-10-26 14:30:00,78.11,77.7,78.24,77.56,374500.0
SH.688122,2021-10-26 15:00:00,77.7,77.3,77.96,77.18,591200.0
SH.688122,2021-10-27 10:00:00,78.82,77.75,79.0,77.03,891400.0
SH.688122,2021-10-27 10:30:00,77.62,77.03,78.04,76.8,607300.0
SH.688122,2021-10-27 11:00:00,77.03,77.13,77.4,76.61,232700.0
SH.688122,2021-10-27 11:30:00,77.12,77.61,77.76,76.9,221400.0
SH.688122,2021-10-27 13:30:00,77.74,76.45,77.74,76.35,381200.0
SH.688122,2021-10-27 14:00:00,76.4,77.6,77.77,76.0,456000.0
SH.688122,2021-10-27 14:30:00,77.48,77.52,77.68,77.23,255100.0
SH.688122,2021-10-27 15:00:00,77.57,77.34,77.74,77.04,341000.0
SH.688122,2021-10-28 10:00:00,76.87,77.41,77.8,74.81,841600.0
SH.688122,2021-10-28 10:30:00,77.41,77.98,77.99,76.66,558800.0
SH.688122,2021-10-28 11:00:00,77.99,78.56,78.75,77.04,549100.0
SH.688122,2021-10-28 11:30:00,78.52,78.62,78.69,77.93,749400.0
SH.688122,2021-10-28 13:30:00,78.5,78.54,78.66,78.2,303500.0
SH.688122,2021-10-28 14:00:00,78.59,78.2,78.7,77.8,334000.0
SH.688122,2021-10-28 14:30:00,78.2,77.76,78.4,77.63,297200.0
SH.688122,2021-10-28 15:00:00,77.72,77.08,77.77,76.9,343700.0
SH.688122,2021-10-29 10:00:00,76.83,76.04,78.2,75.42,932400.0
SH.688122,2021-10-29 10:30:00,76.03,78.41,78.41,75.37,496400.0
SH.688122,2021-10-29 11:00:00,78.43,77.04,78.48,76.9,388900.0
SH.688122,2021-10-29 11:30:00,77.03,77.25,77.77,76.55,361700.0
SH.688122,2021-10-29 13:30:00,77.36,77.04,77.98,76.87,336500.0
SH.688122,2021-10-29 14:00:00,77.05,77.63,77.85,77.03,246000.0
SH.688122,2021-10-29 14:30:00,77.62,77.66,77.81,77.32,267100.0
SH.688122,2021-10-29 15:00:00,77.67,77.67,77.88,77.43,401800.0
SH.688122,2021-11-01 10:00:00,77.9,78.98,78.98,76.49,1105100.0
SH.688122,2021-11-01 10:30:00,78.99,79.58,79.75,78.15,1481700.0
SH.688122,2021-11-01 11:00:00,79.52,80.58,80.8,79.26,872000.0
SH.688122,2021-11-01 11:30:00,80.58,79.83,80.62,79.67,341800.0
SH.688122,2021-11-01 13:30:00,79.83,79.76,80.1,79.24,576000.0
